# 二简词
bf	不要
tmo	煓
tmu	猯
tna	沓
tni	挞
tno	它
tnu	獭
tnv	塔
tp	体
tpa	涕
tpi	提
tpo	题
tpu	逖
tpv	替
tqa	汤
tqi	堂
tqo	糖
tqu	躺
tqv	塘
tr	腾
tri	藤
tro	疼
tru	滕
ts	特
tsi	铽
tt	吞
tta	臀
tti	囤
tto	暾
ttu	豚
ttv	屯
tw	同
twa	通
twi	铜
two	痛
twu	筒
twv	桶
txi	偷
txu	透
ty	陶
tya	淘
tyi	掏
tyo	讨
tyu	逃
tyv	套
wb	揣
wbi	搋
wbo	踹
wf	吹
wfa	陲
wfi	锤
wfo	炊
wfu	垂
wfv	槌
wgo	欻
whi	拆
wj	产
wja	缠
wji	掺
wjo	颤
wju	馋
wjv	刬
wk	床
wki	创
wko	窗
wl	出
wla	除
wli	储
wlo	初
wlu	处
wlv	厨
wm	穿
wmi	传
wmo	喘
wmu	船
wmv	椽
wn	差
wni	插
wno	察
wnu	刹
wnv	查
wp	吃
wpa	迟
wpi	持
wpo	痴
wpu	斥
wpv	赤
wq	长
wqa	娼
wqi	常
wqo	唱
wqu	肠
wqv	场
wr	成
wra	承
wri	撑
wro	呈
wru	称
wrv	城
ws	车
wsa	澈
wsi	撤
wso	㬚
wsu	彻
wsv	坼
wta	纯
wtv	春
ww	冲
wwa	涌
wwi	虫
wwo	充
wwu	重
wwv	舂
wx	抽
wxa	丑
wxi	仇
wxo	踌
wxu	愁
wxv	酬
wy	超
wya	潮
wyi	抄
wyo	炒
wyu	朝
wyv	耖
wz	陈
wza	沉
wzi	尘
wzo	晨
wzu	称
wzv	臣
xb	些
xba	泄
xbi	斜
xbo	写
xbu	协
xc	小
xca	消
xci	销
xco	效
xcu	笑
xcv	校
xd	新
xdi	信
xdo	心
xdu	欣
xdv	馨
xf	想
xfa	乡
xfi	像
xfo	响
xfu	向
xfv	相
xg	先
xga	线
xgi	省 县
xgo	显
xgu	鲜
xgv	现
xh	学
xhv	雪
xk	行
xka	姓
xko	性
xku	腥
xkv	形
xla	续
xli	虚
xlo	许
xlu	须
xlv	需
xm	选
xma	渲
xmi	悬
xmo	宣
xmu	衒
xmv	璇
xp	西
xpa	戏
xpi	锡
xpo	席
xpu	系
xpv	喜
xs	下
xsi	侠
xsu	狭
xsv	夏
xt	寻
xta	巡
xti	薰
xto	训
xtu	循
xtv	殉
xx	修
xxa	绣
xxi	休
xxo	羞
xxu	秀
xxv	朽
xy	熊
xya	汹
xyi	芎
xyo	兄
xyu	胸
xyv	雄
y	是
yb	帅
ybi	摔
ybo	率
ybu	甩
yd	说
yda	妁
ydi	铄
ydo	烁
ydv	硕
ye	谁
yfi	睡
yfo	谁
yfu	税
yg	刷
ygo	唰
ygv	耍
yh	晒
yhu	筛
yhv	酾
yj	山
yja	陕
yji	擅
yjo	善
yju	删
yjv	珊
yk	双
yka	孀
ykv	爽
yl	数
yla	书
yli	叔
ylo	熟
ylu	鼠
ylv	树
ym	拴
yma	涮
ymo	闩
ymu	腨
ymv	栓
yn	啥
yna	沙
yni	傻
yno	痧
ynu	杀
ynv	厦
yp	时
ypa	始
ypi	使
ypo	试
ypu	十
ypv	事
yq	上
yqa	汤
yqi	尚
yqo	商
yqu	觞
yqv	墒
yr	生
yra	圣
yri	省
yro	晟
yru	剩
yrv	声
ys	设
ysa	涉
ysi	舍
yso	社
ysu	射
ysv	奢
yti	瞬
yto	吮
ytu	顺
ytv	楯
yx	收
yxa	绶
yxi	手
yxo	首
yxu	受
yxv	寿
yy	少
yya	绍
yyi	捎
yyo	烧
yyu	稍
yyv	梢
yz	神
yza	深
yzi	伸
yzo	审
yzu	身
yzv	甚
z	在
zd	做
zda	阼
zdi	作
zdo	座
zdu	胙
zdv	左
zfi	罪
zfo	嘴
zfv	醉
zh	再
zha	甾
zhi	仔
zho	灾
zhu	载
zji	攒
zjo	咱
zju	赞
zjv	暂
zl	组
zla	阻
zli	俎
zlo	足
zlu	租
zlv	珇
zma	赚
zmi	钻
zmo	躜
zmu	纂
zni	扎
zno	咱
znu	杂
znv	砸
zp	字
zpa	子
zpi	紫
zpo	资
zpu	自
zpv	梓
zq	藏
zqa	赃
zqi	葬
zqu	脏
zqv	臧
zr	增
zra	赠
zri	锃
zro	曾
zru	矰
zs	则 咋
zsa	泽
zsi	择
zso	咋
zsu	舴
zsv	责
zti	撙
zto	尊
ztu	鳟
ztv	樽
zw	总
zwa	纵
zwi	偬
zwo	宗
zwu	腙
zwv	棕
zxa	驺
zxi	揍
zxo	诹
zxu	邹
zxv	奏
zy	早
zya	澡
zyi	藻
zyo	糟
zyu	造
zyv	遭
zz	怎
zzo	谮
